run,split,mAP50-95_all,mAP50_all,mAP50-95_hard_coral,mAP50-95_soft_coral,MacroAP50-95
baseline_s0,test,0.1248948453624176,0.25837661334276557,0.1858487968603934,0.06394089386444177,0.12489484536241759
mild_s0,test,0.128285901922115,0.26316135706624033,0.1865975358888729,0.06997426795535709,0.128285901922115
rfs_linear_s0,test,0.13541062211513233,0.2610405375456185,0.20345592438166404,0.06736531984860063,0.13541062211513233
rfs_sqrtA_s0,test,0.13978338610493582,0.2836600219669144,0.20468184163865716,0.07488493057121454,0.13978338610493585
strong_s0,test,0.11647543688759172,0.2443051466676707,0.16082508071057422,0.07212579306460928,0.11647543688759175
