epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,819.252,1.2843,2.53808,1.35509,1.18826,0.59657,0.35887,0.36973,0.25011,0.59487,0.35435,0.35889,0.21594,1.31945,2.52239,1.43395,1.22397,0.000555557,0.000555557,0.000555557
2,1483.33,1.26483,2.42756,1.26921,1.164,0.59446,0.35703,0.37583,0.25383,0.6013,0.34269,0.36085,0.21759,1.32275,2.52637,1.42066,1.21501,0.00105622,0.00105622,0.00105622
3,2090.87,1.24691,2.384,1.22354,1.15064,0.58067,0.36541,0.38362,0.26171,0.5862,0.35826,0.37275,0.22408,1.2986,2.47189,1.38805,1.1997,0.00150187,0.00150187,0.00150187
4,2830.22,1.22789,2.34044,1.18009,1.13705,0.58643,0.36909,0.38898,0.26629,0.59642,0.35975,0.37556,0.22617,1.28672,2.45281,1.37828,1.18726,0.00141945,0.00141945,0.00141945
5,3819.95,1.2066,2.29994,1.14078,1.1232,0.59886,0.37462,0.39272,0.26919,0.59799,0.36844,0.38078,0.23093,1.28487,2.41865,1.3846,1.18125,0.00133693,0.00133693,0.00133693
6,4719.75,1.18696,2.26111,1.10503,1.11085,0.60003,0.3787,0.40159,0.27607,0.60016,0.37077,0.3856,0.23279,1.27901,2.43494,1.33576,1.17874,0.00125442,0.00125442,0.00125442
7,5715.86,1.16829,2.23732,1.07551,1.09998,0.60718,0.38816,0.41027,0.28209,0.61371,0.378,0.39401,0.2381,1.27528,2.4124,1.32092,1.17166,0.0011719,0.0011719,0.0011719
8,6640.13,1.15611,2.21418,1.05142,1.09259,0.63117,0.38553,0.4168,0.28918,0.64801,0.37247,0.39971,0.24088,1.25786,2.38992,1.31182,1.1613,0.00108938,0.00108938,0.00108938
9,7514.79,1.13812,2.1722,1.02361,1.08135,0.62914,0.38732,0.41856,0.2918,0.6366,0.37735,0.40209,0.24275,1.26156,2.38301,1.29026,1.16142,0.00100687,0.00100687,0.00100687
10,8507.66,1.1227,2.15033,1.00202,1.0738,0.63162,0.39019,0.41909,0.2934,0.62617,0.38369,0.40451,0.24426,1.24954,2.37088,1.28331,1.15801,0.000924352,0.000924352,0.000924352
11,9116.28,1.07438,2.01419,0.92659,1.04638,0.61902,0.39272,0.42115,0.29444,0.62499,0.37877,0.4034,0.24453,1.25903,2.37004,1.26263,1.15744,0.000841835,0.000841835,0.000841835
12,9647.29,1.0561,1.98563,0.88798,1.03609,0.64465,0.39223,0.42748,0.29852,0.64324,0.38093,0.40891,0.24681,1.24728,2.35659,1.24763,1.15048,0.000759318,0.000759318,0.000759318
13,10479.8,1.03743,1.95001,0.86137,1.02362,0.63282,0.40046,0.42974,0.30106,0.63734,0.38756,0.41046,0.24804,1.2478,2.34614,1.23225,1.15544,0.000676802,0.000676802,0.000676802
14,11353.9,1.02024,1.92576,0.83657,1.01493,0.64071,0.39919,0.43151,0.30345,0.6481,0.38369,0.4116,0.2502,1.2374,2.34088,1.2316,1.14151,0.000594286,0.000594286,0.000594286
15,12219.6,1.00507,1.90582,0.8179,1.00662,0.64944,0.39948,0.43738,0.30763,0.64987,0.38788,0.41639,0.25235,1.23247,2.33439,1.21868,1.14186,0.000511769,0.000511769,0.000511769
16,13082.7,0.99286,1.89142,0.79831,1.00128,0.65971,0.39896,0.4373,0.30781,0.66782,0.38457,0.4168,0.25274,1.22863,2.34052,1.20809,1.13781,0.000429253,0.000429253,0.000429253
17,13999.5,0.98151,1.86919,0.78122,0.9954,0.65666,0.40134,0.43955,0.3113,0.66101,0.38783,0.41954,0.25578,1.22304,2.32579,1.19438,1.13699,0.000346736,0.000346736,0.000346736
18,14982.9,0.97295,1.85996,0.76762,0.98991,0.65118,0.40628,0.44014,0.31161,0.65611,0.39134,0.4196,0.25576,1.21983,2.32393,1.19771,1.13337,0.00026422,0.00026422,0.00026422
19,15935.7,0.96004,1.84324,0.75632,0.98479,0.6506,0.40867,0.44156,0.31254,0.64999,0.39535,0.42162,0.2568,1.21769,2.32005,1.18251,1.13574,0.000181703,0.000181703,0.000181703
20,16897.7,0.95516,1.83409,0.74654,0.98323,0.65274,0.41166,0.44416,0.31424,0.66503,0.39224,0.4227,0.25662,1.21677,2.31805,1.19345,1.13097,9.91865e-05,9.91865e-05,9.91865e-05
