image_name,image_path,shape_h,shape_w,total_pixels,bleached_pixels,unbleached_pixels,overlap_pixels,combined_pixels_provided,combined_pixels_computed,bleached_pct,unbleached_pct,background_pct,mean_R_bleached,mean_G_bleached,mean_B_bleached,mean_R_unbleached,mean_G_unbleached,mean_B_unbleached
C10_BC_PM_T1_29nov24_CDaza_corr.jpg,images\C10_BC_PM_T1_29nov24_CDaza_corr.jpg,2421,3209,7768989,869528,4363867,0,0,5233395,11.192292845311018,56.17033310254397,32.637374052145006,142.46850935220027,167.0049164604245,57.02526198121279,85.45303878417926,94.87708745477349,4.399417076643261
C10_BC_PM_T2_29nov24_CDaza_corr.jpg,images\C10_BC_PM_T2_29nov24_CDaza_corr.jpg,2365,3233,7646045,1264442,576114,0,0,1840556,16.537203220750072,7.534797401793999,75.92799937745593,110.62216455954484,126.84063088698414,9.466721288916375,83.12485202581433,92.86085913551831,3.2250561520810117
C10_BC_PM_T3_29nov24_CDaza_corr.jpg,images\C10_BC_PM_T3_29nov24_CDaza_corr.jpg,2306,3201,7381506,751607,3081704,0,0,3833311,10.182298842539721,41.748987266284146,48.06871389117614,105.23380702947152,126.89393526137995,23.11672057338476,108.33530183301187,122.31544690859343,2.608101881296841
C10_BC_PP_T1_29nov24_HBenavides_corr.jpg,images\C10_BC_PP_T1_29nov24_HBenavides_corr.jpg,2545,3392,8632640,65921,2461011,0,0,2526932,0.7636250324350372,28.508208381213628,70.72816658635134,90.77934193959436,120.43039395640236,25.67057538568893,87.56841395670315,112.91888374330712,15.159655930022256
C10_BC_PP_T2_29nov24_HBenavides_corr.jpg,images\C10_BC_PP_T2_29nov24_HBenavides_corr.jpg,2554,3421,8737234,1439204,2491436,0,0,3930640,16.472078005464887,28.515157085182793,55.01276490935232,110.71104860742466,135.43008218431856,29.909867537889,70.14817157655264,90.84523503714324,6.863807458830971
C10_BC_PP_T3_29nov24_HBenavides_corr.jpg,images\C10_BC_PP_T3_29nov24_HBenavides_corr.jpg,2593,3385,8777305,874095,4099425,0,0,4973520,9.9585806805164,46.70482568396564,43.336593635517964,125.7253582276526,145.73932238486663,45.547710489134474,94.5733965129256,104.16968306530794,12.225378437219854
C10_BC_PSb_T1_29nov24_HBenavides_corr.jpg,images\C10_BC_PSb_T1_29nov24_HBenavides_corr.jpg,2610,3445,8991450,2200611,453514,0,0,2654125,24.474484093221893,5.043836088728737,70.48167981804937,123.94002801949095,142.73021810760739,38.849557236603836,74.03928434403348,82.85807494366216,2.9883884510731753
C10_BC_PSb_T2_29nov24_HBenavides_corr.jpg,images\C10_BC_PSb_T2_29nov24_HBenavides_corr.jpg,2749,3465,9525285,4314029,207963,0,0,4521992,45.29028790214676,2.1832732563907538,52.526438841462486,107.03122973906758,123.34638802845322,26.249925301846602,67.48640863999846,78.81047109341566,3.7463731529166244
C10_Gr_PM_T1_30nov24_CGomez_corr.jpg,images\C10_Gr_PM_T1_30nov24_CGomez_corr.jpg,2473,3233,7995209,67269,3852012,0,0,3919281,0.8413663732868021,48.17900320054172,50.979630426171475,139.70690808544796,158.3325008547771,116.49465578498268,79.49555323295982,92.87093809676605,69.52097657016645
C10_Gr_PM_T2_30nov24_CGomez_corr.jpg,images\C10_Gr_PM_T2_30nov24_CGomez_corr.jpg,2429,3209,7794661,821564,588769,0,0,1410333,10.54008634884827,7.553490780420085,81.90642287073165,143.43173629808513,172.77830941959482,179.16422701092063,74.33636791339218,86.55746481217591,61.42561004400707
C10_Gr_PM_T3_30nov24_CGomez_corr.jpg,images\C10_Gr_PM_T3_30nov24_CGomez_corr.jpg,2445,3193,7806885,954268,3424870,0,0,4379138,12.22341561326957,43.86986615019947,43.906718236530956,147.89733492058835,161.81493249275886,128.91336605649565,72.13220852178331,79.06567402558345,54.212053888176776
C10_Gr_PP_T1_30nov24_HBenavides_corr.jpg,images\C10_Gr_PP_T1_30nov24_HBenavides_corr.jpg,2537,3369,8547153,1395804,2622612,0,0,4018416,16.330630796008915,30.684041809009386,52.985327394981695,71.89845350779909,121.01570134488796,102.32227877266436,55.075841565584234,92.84665631057892,65.11445345327483
C10_Gr_PP_T2_30nov24_HBenavides_corr.jpg,images\C10_Gr_PP_T2_30nov24_HBenavides_corr.jpg,2533,3365,8523545,1998838,3917570,0,0,5916408,23.450782508920877,45.96174479045984,30.587472700619283,85.92502844152453,151.88962987495734,142.56134914385257,28.73133549623874,72.52353755006293,60.69311435405111
C10_Gr_PP_T3_30nov24_HBenavides_corr.jpg,images\C10_Gr_PP_T3_30nov24_HBenavides_corr.jpg,2513,3405,8556765,1701861,3365268,0,0,5067129,19.889070226890652,39.32874164476879,40.78218812834056,110.0501686095398,173.911653184367,159.24700313362843,44.310465912373104,80.18490800732661,60.78428285652138
C10_Gr_PSa_T1_30nov24_CDaza_corr.jpg,images\C10_Gr_PSa_T1_30nov24_CDaza_corr.jpg,2577,3389,8733453,1407450,55959,0,0,1463409,16.115618873771922,0.6407431287487321,83.24363799747935,160.70208177910405,174.55917439340652,142.0798337418736,61.36231884057971,38.05798888471917,25.555853392662485
C10_Gr_PSa_T2_30nov24_CDaza_corr.jpg,images\C10_Gr_PSa_T2_30nov24_CDaza_corr.jpg,2577,3385,8723145,202688,267403,0,0,470091,2.323565640603246,3.0654425668723837,94.61099179252437,162.32853943006,176.93270445216294,146.5406536154089,106.18640030216565,85.6536762863543,58.968975665942416
